"","elements_number","y_component_number","vector_length","temporary_size","load_overlap","threads_number","lws_y","time_per_pixel","row_number","measurement_order","experiment_id","slowdown","method"
"256",6,6,1,2,1,1024,1,1.28669181117226e-10,19807,47,256,1.10444396457321,"GPR"
"257",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,69,257,1.03091776073943,"GPR"
"258",6,6,1,2,1,256,1,1.18202032710546e-10,19283,93,258,1.01459821609115,"GPR"
"259",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,58,259,1.03091776073943,"GPR"
"260",6,6,1,4,2,256,1,1.20016645514951e-10,13669,48,260,1.0301741150163,"GPR"
"261",6,6,1,2,2,256,1,1.17919974204394e-10,17258,47,261,1.01217714049192,"GPR"
"262",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,78,262,1.00979555916616,"GPR"
"263",6,6,1,2,1,256,1,1.18202032710546e-10,19283,119,263,1.01459821609115,"GPR"
"264",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,70,264,1.01488180994275,"GPR"
"265",6,6,1,4,2,128,1,1.1965589478547e-10,17968,58,265,1.02707757734946,"GPR"
"266",6,6,1,2,2,256,2,1.1808319494789e-10,21903,11,266,1.01357816102755,"GPR"
"267",6,6,1,4,2,128,1,1.1965589478547e-10,17968,102,267,1.02707757734946,"GPR"
"268",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,65,268,1.03091776073943,"GPR"
"269",6,6,1,2,2,256,1,1.17919974204394e-10,17258,92,269,1.01217714049192,"GPR"
"270",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,76,270,1.01488180994275,"GPR"
"271",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,120,271,1.01488180994275,"GPR"
"272",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,101,272,1.04732094092038,"GPR"
"273",6,6,1,2,1,1024,32,1.30214124849928e-10,19394,53,273,1.11770513376984,"GPR"
"274",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,93,274,1.00979555916616,"GPR"
"275",6,6,1,4,1,128,1,1.21238783742256e-10,9680,42,275,1.04066445293017,"GPR"
"276",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,82,276,1.03091776073943,"GPR"
"277",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,93,277,1.04732094092038,"GPR"
"278",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,104,278,1.02697620634826,"GPR"
"279",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,105,279,1.0761594320093,"GPR"
"280",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,32,280,1.0761594320093,"GPR"
"281",6,6,1,2,2,128,1,1.18258966570151e-10,16588,72,281,1.01508691320631,"GPR"
"282",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,112,282,1.02697620634826,"GPR"
"283",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,74,283,1.02697620634826,"GPR"
"284",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,50,284,1.0511551928136,"GPR"
"285",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,75,285,1.04732094092038,"GPR"
"286",6,6,1,2,1,256,1,1.18202032710546e-10,19283,61,286,1.01459821609115,"GPR"
"287",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,108,287,1.0511551928136,"GPR"
"288",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,78,288,1.03091776073943,"GPR"
"289",6,6,1,4,1,1024,8,1.20545060937111e-10,17594,106,289,1.0347098182727,"GPR"
